,Date,Close/Last,Volume,Open,High,Low
865,2017-12-29,176.46,10220640,178.0,178.85,176.46
866,2017-12-28,177.92,12186930,177.95,178.9367,177.68
867,2017-12-27,177.62,9491241,176.55,178.44,176.26
868,2017-12-26,175.99,8872001,176.63,177.0,174.67
869,2017-12-22,177.2,8498301,177.14,177.53,176.23
870,2017-12-21,177.45,11143880,177.94,178.68,177.05
871,2017-12-20,177.89,11841860,179.81,179.81,177.36
872,2017-12-19,179.51,14841100,179.95,180.08,178.22
873,2017-12-18,180.82,17208480,181.01,181.3,179.75
874,2017-12-15,180.18,28450570,179.02,180.4934,178.36
875,2017-12-14,178.39,13566430,178.29,180.3601,177.68
876,2017-12-13,178.3,14607730,177.3,179.16,177.25
877,2017-12-12,176.96,16785360,178.6,179.18,176.6
878,2017-12-11,179.04,13153390,179.3,180.22,178.8
879,2017-12-08,179.0,19505890,181.53,182.28,178.7401
880,2017-12-07,180.14,20326090,175.8,180.39,175.8
881,2017-12-06,176.06,20177280,172.5,176.77,171.9
882,2017-12-05,172.83,20162370,170.45,175.38,169.01
883,2017-12-04,171.47,24420700,176.29,176.57,170.79
884,2017-12-01,175.1,19977450,176.03,177.48,172.34
885,2017-11-30,177.18,25129620,176.85,178.275,175.2
886,2017-11-29,175.13,41867070,181.89,181.97,174.0
887,2017-11-28,182.42,14366700,183.51,184.25,182.09
888,2017-11-27,183.03,12290390,182.56,183.73,181.99
889,2017-11-24,182.78,9426283,180.4,183.15,180.29
890,2017-11-22,180.87,10367990,181.3,181.73,180.44
891,2017-11-21,181.86,14466710,179.15,181.89,178.99
892,2017-11-20,178.74,9579637,178.87,179.5,178.1
893,2017-11-17,179.0,13005190,179.3,179.98,178.9
894,2017-11-16,179.59,15230070,178.76,179.83,178.5
895,2017-11-15,177.95,10220940,176.66,178.57,176.4
896,2017-11-14,178.07,9535750,178.13,178.97,177.18
897,2017-11-13,178.77,9514524,177.5,179.04,177.3
898,2017-11-10,178.46,11058700,178.35,179.0999,177.96
899,2017-11-09,179.3,12599830,178.31,179.4,177.09
900,2017-11-08,179.56,10467000,179.79,180.35,179.11
901,2017-11-07,180.25,12895890,180.5,180.7478,178.96
902,2017-11-06,180.17,13274060,178.56,180.45,178.31
903,2017-11-03,178.92,17789310,179.29,179.86,176.71
904,2017-11-02,178.92,35448690,180.63,181.94,177.34
905,2017-11-01,182.66,37999510,182.36,182.9,180.57
906,2017-10-31,180.06,19936260,180.57,180.8,178.94
907,2017-10-30,179.87,24309980,179.26,180.69,177.61
908,2017-10-27,177.88,30266080,174.15,178.21,173.9
909,2017-10-26,170.63,11690100,171.38,172.285,170.39
910,2017-10-25,170.6,15861100,171.9,172.25,168.89
911,2017-10-24,171.8,12163060,172.3,173.24,171.5
912,2017-10-23,171.27,13807700,175.2,175.34,171.25
913,2017-10-20,174.98,12422870,175.5,175.88,174.63
914,2017-10-19,174.56,13873480,174.93,176.03,172.63
915,2017-10-18,176.03,12723070,176.65,176.74,175.75
916,2017-10-17,176.11,15926670,174.71,176.13,174.36
917,2017-10-16,174.52,11455560,174.49,175.0,174.06
918,2017-10-13,173.74,13601140,173.45,174.65,173.2
919,2017-10-12,172.55,10461960,172.61,173.85,172.29
920,2017-10-11,172.74,11251830,171.95,172.78,171.4
921,2017-10-10,171.59,11330830,173.0,173.2,170.8
922,2017-10-09,172.5,14552670,172.7,174.88,172.0
923,2017-10-06,172.23,12711640,170.25,172.37,169.75
924,2017-10-05,171.24,14453310,169.18,171.31,168.6
925,2017-10-04,168.42,11926980,169.83,170.67,168.29
926,2017-10-03,169.96,8177141,169.3,170.73,169.2
927,2017-10-02,169.47,13350740,171.39,171.87,168.75
928,2017-09-29,170.87,15274870,168.83,171.66,168.81
929,2017-09-28,168.73,12157690,167.94,169.0696,167.16
930,2017-09-27,167.68,19131680,165.9,168.34,165.57
931,2017-09-26,164.21,23083780,164.5,165.5,162.78
932,2017-09-25,162.87,41207930,169.24,169.3,161.56
933,2017-09-22,170.54,12040370,170.21,171.73,169.22
934,2017-09-21,171.11,11088960,171.69,172.27,170.01
935,2017-09-20,172.17,12226570,172.5,173.05,170.7
936,2017-09-19,172.52,13021560,170.62,172.56,170.36
937,2017-09-18,170.01,12898300,171.99,172.07,169.34
938,2017-09-15,171.64,15643240,170.88,172.34,170.26
939,2017-09-14,170.96,15564130,172.26,172.28,170.5
940,2017-09-13,173.05,9112378,173.01,173.17,172.06
941,2017-09-12,172.96,11179730,173.76,174.0,171.75
942,2017-09-11,173.51,12353760,172.4,173.89,172.2
943,2017-09-08,170.95,10985350,173.09,173.49,170.8
944,2017-09-07,173.21,18039640,171.94,173.3067,170.27
945,2017-09-06,172.09,13886740,170.91,172.48,169.57
946,2017-09-05,170.72,13214940,171.27,172.3875,169.55
947,2017-09-01,172.02,11663360,172.4,172.915,171.31
948,2017-08-31,171.97,17216280,170.4,172.145,170.06
949,2017-08-30,169.92,11117630,168.17,170.18,167.63
950,2017-08-29,168.05,11111780,165.25,168.425,165.0
951,2017-08-28,167.24,8477431,166.91,167.7,166.33
952,2017-08-25,166.32,12589850,167.86,168.38,166.18
953,2017-08-24,167.74,14015950,168.88,169.29,166.41
954,2017-08-23,168.71,9838383,168.84,169.36,168.2
955,2017-08-22,169.64,11377350,168.28,169.87,167.15
956,2017-08-21,167.78,11898620,167.16,168.0,165.82
957,2017-08-18,167.41,15065590,166.84,168.67,166.21
958,2017-08-17,166.91,17009420,169.34,169.86,166.85
959,2017-08-16,170.0,15732840,171.25,171.38,169.24
960,2017-08-15,171.0,8713651,171.49,171.5,170.01
961,2017-08-14,170.75,12940140,170.09,171.08,169.29
962,2017-08-11,168.08,13778190,167.95,168.82,166.85
963,2017-08-10,167.4,20551720,170.06,170.59,166.85
964,2017-08-09,171.18,10800730,169.98,171.45,169.56
965,2017-08-08,171.23,14317200,171.88,173.05,170.62
966,2017-08-07,171.98,12765230,169.95,172.06,169.66
967,2017-08-04,169.62,10505980,168.97,170.06,168.69
968,2017-08-03,168.59,10519470,169.3,169.7,168.25
969,2017-08-02,169.3,17181110,170.3,170.55,166.91
970,2017-08-01,169.86,14286110,169.82,170.47,169.05
971,2017-07-31,169.25,25429310,172.0,172.72,168.55
972,2017-07-28,172.45,24546680,169.07,173.43,169.05
973,2017-07-27,170.44,68454830,174.7,175.49,167.5
974,2017-07-26,165.61,32989200,166.01,166.01,164.1
975,2017-07-25,165.28,15309000,165.01,165.54,163.8619
976,2017-07-24,166.0,17208500,164.64,166.17,164.31
977,2017-07-21,164.43,14712450,164.16,165.05,163.75
978,2017-07-20,164.53,18409730,164.8,165.0,162.81
979,2017-07-19,164.14,26144510,163.59,165.7,163.17
980,2017-07-18,162.86,23686800,159.66,163.73,159.42
981,2017-07-17,159.73,12757430,160.25,160.78,158.81
